Date,Prev Close,Open,High,Low,Close,VWAP,Volume
2020-01-01,1514.05,1518.0,1527.1,1505.5,1509.6,1515.23,6402372
2020-01-02,1509.6,1512.0,1540.95,1512.0,1535.3,1530.86,8096561
2020-01-03,1535.3,1533.0,1541.65,1523.0,1537.15,1532.73,9593498
2020-01-06,1537.15,1520.0,1527.9,1498.0,1501.5,1512.57,11209343
2020-01-07,1501.5,1519.0,1534.5,1513.5,1524.6,1523.12,7627191
2020-01-08,1524.6,1515.0,1534.45,1510.0,1513.15,1518.24,7336561
2020-01-09,1513.15,1538.6,1550.0,1531.25,1548.0,1541.76,6849606
2020-01-10,1548.0,1551.9,1557.95,1539.65,1547.65,1549.42,5704686
2020-01-13,1547.65,1545.05,1558.7,1538.4,1543.7,1548.94,8358090
2020-01-14,1543.7,1540.0,1550.0,1521.85,1529.4,1533.76,7230788
2020-01-15,1529.4,1535.85,1539.9,1518.25,1523.85,1526.75,7231393
2020-01-16,1523.85,1529.0,1543.35,1528.0,1537.9,1535.41,5873662
2020-01-17,1537.9,1553.5,1584.95,1553.2,1581.0,1573.0,13469708
2020-01-20,1581.0,1609.0,1609.0,1526.4,1532.35,1557.85,14878868
2020-01-21,1532.35,1528.6,1545.85,1522.0,1533.9,1535.68,8650831
2020-01-22,1533.9,1544.0,1546.75,1531.1,1533.35,1538.16,4719245
2020-01-23,1533.35,1536.5,1541.95,1520.7,1526.85,1528.79,5142088
2020-01-24,1526.85,1527.0,1536.35,1518.55,1521.55,1525.74,6687633
2020-01-27,1521.55,1514.9,1524.45,1505.0,1506.55,1513.43,6120429
2020-01-28,1506.55,1508.6,1510.0,1463.6,1471.75,1485.82,11215313
2020-01-29,1471.75,1474.05,1494.4,1464.05,1479.85,1479.34,11313297
2020-01-30,1479.85,1479.0,1479.7,1440.0,1443.75,1452.4,10241756
2020-01-31,1443.75,1453.0,1453.25,1407.2,1411.65,1425.75,15886673
2020-02-01,1411.65,1405.3,1426.95,1371.1,1383.35,1402.89,11022901
2020-02-03,1383.35,1369.9,1399.95,1363.05,1385.5,1380.77,14040626
2020-02-04,1385.5,1400.0,1432.5,1397.8,1426.4,1419.31,11604666
2020-02-05,1426.4,1434.9,1452.8,1430.3,1448.5,1442.46,8444823
2020-02-06,1448.5,1454.1,1467.0,1440.1,1457.8,1452.93,7103715
2020-02-07,1457.8,1451.0,1452.35,1428.3,1433.65,1437.06,5581641
2020-02-10,1433.65,1428.0,1445.5,1410.45,1435.6,1424.41,6922631
2020-02-11,1435.6,1447.4,1466.2,1445.05,1452.75,1457.22,6400245
2020-02-12,1452.75,1456.15,1474.85,1455.0,1470.3,1465.86,6187091
2020-02-13,1470.3,1477.75,1477.75,1462.6,1474.15,1470.71,6201763
2020-02-14,1474.15,1477.25,1501.45,1453.1,1487.6,1483.41,9704655
2020-02-17,1487.6,1489.0,1506.15,1474.3,1478.25,1487.62,6011340
2020-02-18,1478.25,1475.9,1475.9,1457.4,1467.4,1465.63,5086964
2020-02-19,1467.4,1479.35,1506.45,1475.1,1503.8,1497.34,6438918
2020-02-20,1503.8,1497.0,1508.0,1483.8,1485.95,1495.83,7722577
2020-02-24,1485.95,1469.75,1477.0,1439.55,1444.95,1462.78,9769743
2020-02-25,1444.95,1451.4,1451.4,1410.0,1416.4,1432.47,12684109
2020-02-26,1416.4,1410.0,1412.35,1387.35,1392.0,1399.83,13423661
2020-02-27,1392.0,1388.0,1393.8,1369.0,1386.25,1381.33,11454300
2020-02-28,1386.25,1354.9,1357.0,1325.0,1328.65,1338.96,17973847
2020-03-02,1328.65,1355.1,1369.0,1301.1,1316.15,1343.4,13486634
2020-03-03,1316.15,1329.7,1353.9,1322.0,1342.85,1339.28,12525809
2020-03-04,1342.85,1352.0,1353.8,1307.9,1339.7,1331.24,10105782
2020-03-05,1339.7,1352.2,1357.95,1306.0,1311.15,1327.07,13948324
2020-03-06,1311.15,1270.0,1288.15,1241.1,1271.0,1271.62,15422068
2020-03-09,1271.0,1240.05,1241.0,1095.0,1114.15,1143.56,40317808
2020-03-11,1114.15,1108.0,1178.45,1108.0,1153.55,1157.92,27237627
2020-03-12,1153.55,1085.0,1101.0,1048.7,1063.0,1076.2,25588170
2020-03-13,1063.0,998.0,1140.0,942.4,1105.3,1053.35,33509757
